product_code,product_name,price_krw,color,status,material_body,material_trim,material_lining,hardware,dimensions,strap_length,handle_drop,origin_country,design_features,color_variants,image_urls,video_urls,product_url
MMKFSVE05CO001,비세토스 스타크 백팩,1890000,Cognac,ACTIVE,비세토스 모노그램 캔버스,천연 나파 가죽,인조 나파,다크 톤 코발트 메탈 하드웨어.,15 x 32 x 44,74cm~90cm,6.5cm,대한민국,조절 가능한 어깨 스트랩 | 가죽 손잡이 부분 | 외부 사이드 지퍼 포켓 | 전면 지퍼 수납공간 | 양방향 지퍼 클로저 | 내부 포켓 및 13인치 노트북과 태블릿을 위한 슬리브,MMKFAVE09K8001,https://images.mcmworldwide.com/i/mcmworldwide/MMKFSVE05CO001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MMKFSVE05CO001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MMKFSVE05CO001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MMKFSVE05CO001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MMKFSVE05CO001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MMKFSVE05CO001_10 | https://images.mcmworldwide.com/i/mcmworldwide/MMKFSVE05CO001_11 | https://images.mcmworldwide.com/i/mcmworldwide/MMKFSVE05CO001_12,https://images.mcmworldwide.com/v/mcmworldwide/MMKFSVE05CO001_VID/webm_720p,https://kr.mcmworldwide.com/ko_KR/비세토스-스타크-백팩/MMKFSVE05CO001.html
MMKFAVE09K8001,Stark 비세토스 백팩,1890000,Green,ACTIVE,비세토스 모노그램 캔버스,천연 가죽,스웨이드 마감의 극세사,로고 브라스 플레이트 | 실버톤 코발트 메탈 하드웨어,15 x 32 x 44,74 - 88CM,6.5cm,대한민국,길이 조절이 가능한 숄더 스트랩 | 가죽 탑 핸들 | 앞면과 옆면의 지퍼 수납공간 | 양방향 지퍼 클로저 | 13인치 노트북과 태블릿 수납이 가능한 내부 포켓과 슬리브,MMKFSVE05CO001,https://images.mcmworldwide.com/i/mcmworldwide/MMKFAVE09K8001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MMKFAVE09K8001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MMKFAVE09K8001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MMKFAVE09K8001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MMKFAVE09K8001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MMKFAVE09K8001_10,https://images.mcmworldwide.com/v/mcmworldwide/MMKFAVE09K8001_VID/webm_720p,https://kr.mcmworldwide.com/ko_KR/stark-비세토스-백팩/MMKFAVE09K8001.html
MMKGSVE05BK001,Stark 갤러틱 갈라 양가죽 백팩,2490000,Black,ACTIVE,양가죽,,코튼 트윌,로고 브라스 플레이트 | 실버톤 코발트 메탈 하드웨어,15 x 32 x 44,74 - 88CM,6.5cm,대한민국,길이 조절이 가능한 숄더 스트랩 | 가죽 탑 핸들 | 갤럭틱 갈라 라운드 메탈 스터드 | 앞면과 옆면의 지퍼 수납공간 | 양방향 지퍼 클로저 | 13인치 노트북과 태블릿 수납이 가능한 내부 포켓과 슬리브,,https://images.mcmworldwide.com/i/mcmworldwide/MMKGSVE05BK001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGSVE05BK001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGSVE05BK001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGSVE05BK001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGSVE05BK001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGSVE05BK001_05 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGSVE05BK001_06 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGSVE05BK001_10 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGSVE05BK001_11,https://images.mcmworldwide.com/v/mcmworldwide/MMKGSVE05BK001_VID/webm_720p,https://kr.mcmworldwide.com/ko_KR/stark-갤러틱-갈라-양가죽-백팩/MMKGSVE05BK001.html
MMLGATA03CO001,Aren 비세토스 슬링백,1250000,Cognac,ACTIVE,비세토스 모노그램 캔버스,나파 가죽,코튼 트윌,24K 골드 도금 브라스 하드웨어,9 x 21 x 37,66.5cm - 116cm,,대한민국,길이 조절이 가능한 헤링본 패브릭 웨빙 스트랩 | 앞면 지퍼 포켓 | 뒷면 외부 슬립 포켓 | 양방향 지퍼 클로저 | 테블릿과 디바이스 수납을 위한 내부 슬리브,,https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA03CO001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA03CO001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA03CO001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA03CO001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA03CO001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA03CO001_05 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA03CO001_10 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA03CO001_11,https://images.mcmworldwide.com/v/mcmworldwide/MMLGATA03CO001_VID/webm_720p,https://kr.mcmworldwide.com/ko_KR/aren-비세토스-슬링백/MMLGATA03CO001.html
MYZGATA03CO001,Aren 디스코 비세토스 크로스바디 파우치,770000,Cognac,ACTIVE,비세토스 모노그램 캔버스,나파 가죽,코튼 트윌,로고 브라스 플레이트 | 24K 골드 도금 브라스 하드웨어,2 x 30 x 21,115.5 cm - 139.5 cm,60 cm,대한민국,탈부착이 가능하며 길이 조절이 가능한 가죽 스트랩 | MCM Disco 모티프 | 히든 스냅이 있는 뒷면 외부 포켓 | 지퍼 클로저 | 내부 슬립 포켓 및 지퍼 수납공간,,https://images.mcmworldwide.com/i/mcmworldwide/MYZGATA03CO001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MYZGATA03CO001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MYZGATA03CO001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MYZGATA03CO001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MYZGATA03CO001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MYZGATA03CO001_05 | https://images.mcmworldwide.com/i/mcmworldwide/MYZGATA03CO001_06 | https://images.mcmworldwide.com/i/mcmworldwide/MYZGATA03CO001_10,,https://kr.mcmworldwide.com/ko_KR/aren-디스코-비세토스-크로스바디-파우치/MYZGATA03CO001.html
MYZGATA05CO001,Aren 비세토스 트라이엥글 크로스바디,790000,Cognac,ACTIVE,Visetos monogram canvas,Nappa leather,Microfiber with suede finish,Logo brass plate | 24k gold-plated brass hardware,6 x 24 x 19,104 cm to 128 cm,55 cm,대한민국,"Detachable, adjustable crossbody leather strap | Zip closure | Interior card slots | Rear leather belt loops",,https://images.mcmworldwide.com/i/mcmworldwide/MYZGATA05CO001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MYZGATA05CO001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MYZGATA05CO001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MYZGATA05CO001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MYZGATA05CO001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MYZGATA05CO001_05 | https://images.mcmworldwide.com/i/mcmworldwide/MYZGATA05CO001_06 | https://images.mcmworldwide.com/i/mcmworldwide/MYZGATA05CO001_10 | https://images.mcmworldwide.com/i/mcmworldwide/MYZGATA05CO001_11,,https://kr.mcmworldwide.com/ko_KR/aren-비세토스-트라이엥글-크로스바디/MYZGATA05CO001.html
MYLGATA02CO001,Aren 디스코 비세토스 지퍼 지갑,530000,Cognac,ACTIVE,비세토스 모노그램 캔버스,나파 가죽,코튼 트윌,로고 브라스 플레이트 | 24K 골드 도금 브라스 하드웨어,2 x 12 x 9,,,대한민국,MCM Disco 모티프 | 지퍼-어라운드 클로저 | 구획된 내부 수납공간 | 내부 지퍼 포켓과 카드 슬롯,,https://images.mcmworldwide.com/i/mcmworldwide/MYLGATA02CO001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MYLGATA02CO001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MYLGATA02CO001_04,,https://kr.mcmworldwide.com/ko_KR/aren-디스코-비세토스-지퍼-지갑/MYLGATA02CO001.html
MWHGAXT03CO001,Tracy 비세토스 호보,1690000,Cognac,ACTIVE,비세토스 모노그램 캔버스,나파 가죽,스웨이드 마감의 극세사,24K 골드 도금 브라스 하드웨어,11 x 33 x 31,73cm - 105cm,,대한민국,탈부착이 가능하며 길이 조절이 가능한 가죽 스트랩 | 가죽 스트랩 잠금 장치가 있는 로고 자물쇠 | 내부 슬립 포켓 및 지퍼 수납공간,,https://images.mcmworldwide.com/i/mcmworldwide/MWHGAXT03CO001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MWHGAXT03CO001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MWHGAXT03CO001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MWHGAXT03CO001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MWHGAXT03CO001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MWHGAXT03CO001_05 | https://images.mcmworldwide.com/i/mcmworldwide/MWHGAXT03CO001_06 | https://images.mcmworldwide.com/i/mcmworldwide/MWHGAXT03CO001_10 | https://images.mcmworldwide.com/i/mcmworldwide/MWHGAXT03CO001_11 | https://images.mcmworldwide.com/i/mcmworldwide/MWHGAXT03CO001_12,https://images.mcmworldwide.com/v/mcmworldwide/MWHGAXT03CO001_VID/webm_720p,https://kr.mcmworldwide.com/ko_KR/tracy-비세토스-호보/MWHGAXT03CO001.html
MWPGALR02BK001,New Liz 엠보스드 모노그램 레더 쇼퍼,1350000,Black,ACTIVE,풀그레인 가죽,,스웨이드 마감의 극세사,로고 브라스 플레이트 | 실버톤 코발트 브라스 하드웨어,15 x 25 x 31,,26 cm,이탈리아,가죽 핸들 스트랩 | 엠보스드 비세토스 모노그램 | 후크 잠금 장지 | 탈부착 가능한 레더 파우치 | D링 참 장식 디테일 | 바닥 보호를 위한 레더 패드,,https://images.mcmworldwide.com/i/mcmworldwide/MWPGALR02BK001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MWPGALR02BK001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MWPGALR02BK001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MWPGALR02BK001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MWPGALR02BK001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MWPGALR02BK001_05 | https://images.mcmworldwide.com/i/mcmworldwide/MWPGALR02BK001_11,https://images.mcmworldwide.com/v/mcmworldwide/MWPGALR02BK001_VID/webm_720p,https://kr.mcmworldwide.com/ko_KR/new-liz-엠보스드-모노그램-레더-쇼퍼/MWPGALR02BK001.html
MWRGAOB03BK001,Pina 스터드 장식 카프스킨 탬버린 백,2250000,Black,ACTIVE,100% 카프스킨,,스웨이드 마감의 극세사,24K 골드 도금 브라스 하드웨어,6 x 19 x 19,120.5 cm to 140.5 cm,4 cm,이탈리아,탈부착이 가능하며 길이 조절이 가능한 가죽 크로스바디 스트랩 | 탈부착 가능한 가죽 태슬 장식 | 뒷면 가죽 벨트 루프 | 지퍼 클로저 | 내부 카드 슬롯,,https://images.mcmworldwide.com/i/mcmworldwide/MWRGAOB03BK001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MWRGAOB03BK001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MWRGAOB03BK001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MWRGAOB03BK001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MWRGAOB03BK001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MWRGAOB03BK001_05 | https://images.mcmworldwide.com/i/mcmworldwide/MWRGAOB03BK001_10 | https://images.mcmworldwide.com/i/mcmworldwide/MWRGAOB03BK001_11,,https://kr.mcmworldwide.com/ko_KR/pina-스터드-장식-카프스킨-탬버린-백/MWRGAOB03BK001.html
MWRGATA01BK001,Pina 스터드 장식 카프스킨 베니티 케이스,1550000,Black,ACTIVE,100% 카프스킨,,스웨이드 마감의 극세사,로고 브라스 플레이트 | 24K 골드 도금 브라스 하드웨어,6 x 19 x 12,103cm - 135cm,60cm,이탈리아,탈부착이 가능하며 길이 조절이 가능한 가죽 스트랩 | 가죽 탑 핸들 | 가죽 태슬 장식 | 메탈 로고 스터드 | 양방향 지퍼 클로저 | 내부 카드 슬롯,,https://images.mcmworldwide.com/i/mcmworldwide/MWRGATA01BK001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MWRGATA01BK001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MWRGATA01BK001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MWRGATA01BK001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MWRGATA01BK001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MWRGATA01BK001_05 | https://images.mcmworldwide.com/i/mcmworldwide/MWRGATA01BK001_10 | https://images.mcmworldwide.com/i/mcmworldwide/MWRGATA01BK001_11,,https://kr.mcmworldwide.com/ko_KR/pina-스터드-장식-카프스킨-베니티-케이스/MWRGATA01BK001.html
MEFGAMM074B001,디스코 모노그램 스카프,430000,Brown,ACTIVE,100% 오가닉 실크,,,,90 x 90 x 0,,,이탈리아,정교한 핸드 스티치로 완성 | “MCM Disco” 아트워크,,https://images.mcmworldwide.com/i/mcmworldwide/MEFGAMM074B001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MEFGAMM074B001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MEFGAMM074B001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MEFGAMM074B001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MEFGAMM074B001_10,,https://kr.mcmworldwide.com/ko_KR/디스코-모노그램-스카프/MEFGAMM074B001.html
MEFGAMM05Q7001,디스코 모노그램 프린트 쁘띠 스카프,175000,Pink,ACTIVE,100% 오가닉 실크,,,,5 x 120 x 0,,,이탈리아,정교한 핸드 스티치로 완성 | 양면 디자인 | 대조적인 “MCM Disco” 모노그램 아트워크,,https://images.mcmworldwide.com/i/mcmworldwide/MEFGAMM05Q7001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MEFGAMM05Q7001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MEFGAMM05Q7001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MEFGAMM05Q7001_05 | https://images.mcmworldwide.com/i/mcmworldwide/MEFGAMM05Q7001_10,,https://kr.mcmworldwide.com/ko_KR/디스코-모노그램-프린트-쁘띠-스카프/MEFGAMM05Q7001.html
